family,scientific_name,species_key,en_names,pl_names
Anacardiaceae,Toxicodendron succedaneum (L.) Kuntze,180672447,,
Anacardiaceae,Rhus chinensis Mill.,180672449,,
Anacardiaceae,Mangifera indica L.,180672452,,
Anacardiaceae,Pistacia chinensis Bunge,180672454,,
Arecaceae,"Raphia vinifera P.Beauv., 1804",159868455,,
Bromeliaceae,Ananas comosus (Linn.) Merr.,146769787,,
Cucurbitaceae,Coccinia barteri (Hook.fil.) Keay,206460617,,
Cucurbitaceae,Momordica angustisepala Harms,206460619,,
Cucurbitaceae,"Luffa cylindrica Linnaeus, 1753",206460621,,
Cucurbitaceae,Citrullus lanatus (Thunb.) Matsum. & Nakai,206460623,,
Cucurbitaceae,Citrullus colocynthis (L.) Schrader,206460625,,
Cucurbitaceae,Telfairia occidentalis Hook.fil.,206460627,,
Cucurbitaceae,Cucurbita pepo L.,206460629,,
Cucurbitaceae,Adenopus breviflorus Benth.,206460631,,
Cucurbitaceae,Lagenaria breviflora (Benth.) Roberty,206460632,,
Cucurbitaceae,Momordica balsamina L.,206460634,,
Cucurbitaceae,Coccinia grandis (L.) Voigt,206460636,,
Cucurbitaceae,Lagenaria siceraria (Molina) Standl.,206460638,,
Cucurbitaceae,Cucumis sativus L.,206460640,,
Cucurbitaceae,Momordica charantia L.,206460642,,
Cucurbitaceae,Cucumis melo Blanco,206460644,,
Cucurbitaceae,Momordica foetida Schum.,206460646,,
Ericaceae,Chimaphila umbellata (L.) W.P.C.Barton,222538652,,
Ericaceae,Arctostaphylos uva-ursi (L.) Spreng.,222538653,,
Ericaceae,Orthilia secunda (L.) House,222538654,,
Ericaceae,Moneses uniflora (L.) A.Gray,222538655,,
Grossulariaceae,Ribes glandulosum Grauer,160780580,,
Grossulariaceae,Ribes lacustre (Pers.) Poir.,160780584,,
Grossulariaceae,Ribes nigrum L.,160780586,,
Grossulariaceae,Ribes uva-crispa L.,160780589,,
Grossulariaceae,Ribes hirtellum Michx.,160780592,,
Grossulariaceae,Ribes triste Pall.,160780595,,
Grossulariaceae,Ribes cynosbati L.,160780600,,
Grossulariaceae,Ribes americanum Mill.,160780603,,
Grossulariaceae,Ribes aureum Pursh,160780607,,
Grossulariaceae,Ribes rubrum L.,160780610,,
Grossulariaceae,Ribes viscosum Ruiz & Pav.,205185583,,
Grossulariaceae,Ribes glandulosum Ruiz & Pav.,205185584,,
Grossulariaceae,Ribes prostratum L'Hér.,205185585,,
Grossulariaceae,Ribes rotundifolium Michx.,205185586,,
Grossulariaceae,Ribes odoratum H.L.Wendl.,205185589,,
Grossulariaceae,Ribes sativum (Rchb.) Syme,205185590,,
Grossulariaceae,Ribes glandulosum Weber,246544628,,
Lauraceae,Cinnamomum camphora (L.) J.Presl,162486574,,
Moraceae,Morus nigra L.,160891650,,
Moraceae,Morus alba L.,160891658,,
Moraceae,Ficus macrophylla Desf.,160891759,,
Moraceae,Ficus lucida Hort.Berol. ex Kunth & Bouche,160891760,,
Moraceae,Ficus pandurata hort.,160891762,,
Moraceae,Ficus benjamina L.,160891832,,
Moraceae,Ficus elastica Roxb.,160891929,,
Moraceae,Maclura pomifera (Raf.) C.K.Schneid.,160891966,,
Musaceae,Ensete gilletii,146770806,,
Rosaceae,Mespilus germanica L.,196394302,,
Rosaceae,Fragaria vesca L.,196394303,,
Rosaceae,Rosa canina L.,196394305,,
Rosaceae,Eriobotrya japonica (Thunb.) Lindl.,196394307,,
Rosaceae,Pyrus communis L.,196394309,,
Rosaceae,Prunus avium (L.) L.,196394311,,
Rosaceae,Prunus domestica L.,196394313,,
Rosaceae,Rosa centifolia L.,196394315,,
Rosaceae,Cydonia oblonga Mill.,196394317,,
Rosaceae,Prunus serotina Ehrh.,196394318,,
Rosaceae,Prunus persica Stokes,196394320,,
Rutaceae,Raputia lindosana Kallunki,195439423,,
Solanaceae,Schizanthus ×wisetonensis Hort.,205707208,,
Solanaceae,Solanum sisymbrifolium Lam.,205708446,,
Solanaceae,Nicandra physalodes (L.) Gaertn.,205709829,,
Solanaceae,Capsicum annuum L.,309024194,,
Solanaceae,Solanum luteum Mill.,309024196,,
Solanaceae,Petunia ×atkinsiana D.Don,309024198,,
Solanaceae,Lycium barbarum L.,309024200,,
Solanaceae,Physalis alkekengi L.,309024203,,
Solanaceae,Physalis ixocarpa Brot. ex Hornem.,309024205,,
Solanaceae,Salpiglossis sinuata Ruiz & Pav.,309024207,,
Solanaceae,Atropa belladonna L.,309024209,,
Solanaceae,Solanum dulcamara L.,309024213,,
Solanaceae,Solanum sodomaeum L.,309024214,,
Solanaceae,Solanum cornutum Lam.,309024215,,
Solanaceae,Solanum melanocerasum All.,309024216,,
Solanaceae,Lycopersicon esculentum Mill.,309024217,,
Solanaceae,Solanum tuberosum L.,309024218,,
Solanaceae,Solanum sarrachoides Sendtn.,309024219,,
Solanaceae,Solanum triflorum Nutt.,309024220,,
Solanaceae,Solanum nigrum L.,309024221,,
Vitaceae,Vitis vinifera L.,143969983,,
