polish_name,english_query,species_key,scientific_name,kingdom,rank,en_vernacular,pl_vernacular
agrest,gooseberry,156779879,Cape gooseberry ilarvirus 1,Orthornavirae,SPECIES,,
ananas,pineapple,102462078,Pineapple bacilliform virus,Pararnavirae,SPECIES,,
arbuz,watermelon,102480250,Watermelon geminivirus,Shotokuvirae,SPECIES,,
awokado,avocado,199955235,Avocadovirus avocado,Heunggongvirae,SPECIES,,
bakłażan,eggplant,167112053,Eggplant carlavirus,Orthornavirae,SPECIES,,
banan,banana,159364936,Anamixis bananarama,Animalia,SPECIES,,
borówka,blueberry,120673810,Gordonia phage Blueberry,Heunggongvirae,SPECIES,,
brokuł,broccoli,178859569,Alternaria broccoli-italicae,Fungi,SPECIES,,
brzoskwinia,peach,165404557,"Peachocaris Schram, 1976",Animalia,GENUS,,
cebula,onion,102912259,Iranian onion phytoplasma,Bacillati,SPECIES,,
cukinia,zucchini,10489336,Zucchini shoestring virus,Viruses,SPECIES,,
cytryna,lemon,132586031,citrus lemon,plantae,SPECIES,,
czereśnia,sweet cherry,179221540,Sweet cherry phytoplasma,,SPECIES,,
czosnek,garlic,167112081,Garlic virus F,Orthornavirae,SPECIES,,
daktyle,date,273925012,Achlya kamatii Date,Chromista,SPECIES,,
dynia,pumpkin,300104857,Kostyavirus pumpkin,Heunggongvirae,SPECIES,,
figa,fig,105406008,Pappophorum figarianum Fig. & De Not.,Plantae,SPECIES,,
granat,pomegranate,102912914,Pomegranate fasciation phytoplasma,Bacillati,SPECIES,,
grejpfrut,grapefruit,179219631,Grapefruit phytoplasma,,SPECIES,,
gruszka,pear,273968035,Lineavirus pear,Loebvirae,SPECIES,,
jabłko,apple,11412716,Apple betanucleorhabdovirus,Viruses,SPECIES,,
jagoda,berry,165236515,"Berryteuthis magister (Berry, 1913)",,SPECIES,,
jeżyna,blackberry,179219791,Blackberry phytoplasma,,SPECIES,,
kalafior,cauliflower,179886632,Cauliflower mosaic virus,Pararnavirae,,,
kapusta,cabbage,10698190,Cabbage cytorhabdovirus,Viruses,SPECIES,,
kiwi,kiwi,321441563,Kiwi,Animalia,GENUS,,
kokos,coconut,102484711,Coconut tinangaja viroid,,UNRANKED,,
limonka,lime,156761352,soda lime metagenome,,SPECIES,,
malina,raspberry,179722775,Raspberry latent virus,Orthornavirae,SPECIES,,
mandarynka,mandarin,273975050,Trichodina mandarin,Chromista,SPECIES,,
mango,mango,104369273,Molo mango,Metazoa,SPECIES,,
marchew,carrot,156763268,Carrot virus,,SPECIES,,
melon,melon,178686409,Austrochilus melon,Metazoa,SPECIES,,
morela,apricot,167101724,Apricotvirus apricot,Heunggongvirae,SPECIES,,
nektarynka,nectarine,179220995,Nectarine yellows phytoplasma,,SPECIES,,
ogórek,cucumber,194394281,sea cucumber metagenome,,SPECIES,,
papryka,pepper,119612348,Ameerega pepperi,Animalia,SPECIES,,
pietruszka,parsley,4871055,"Coopericystis Parsley, 1970",Animalia,GENUS,,
pomarańcza,orange,258030084,Nesothele Orange,Fungi,GENUS,,
pomidor,tomato,179684581,Tomato leaf curl Karnataka virus-[tomato:Lucknow],Shotokuvirae,,,
porzeczka,currant,10430677,Currant latent virus,Viruses,SPECIES,,
poziomka,wild strawberry,223668668,Fragaria mandshurica Staudt,Plantae,SPECIES,,
sałata,lettuce,265508569,Unknown lettuce-like,Animalia,GENUS,,
truskawka,strawberry,194280845,Strawberry virus 2,Orthornavirae,SPECIES,,
winogrono,grape,104239654,Brachoria n. sp. Grape,Metazoa,SPECIES,,
wiśnia,cherry,102911681,Cherry phytoplasma,Bacillati,SPECIES,,
ziemniak,potato,179222174,Potato phytoplasma,,SPECIES,,
śliwka,plum,321486657,Plum,,GENUS,,
